session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,First Language,Student Status,Fluent languages,Current Country of Residence,Sex,Country of Birth,Employment Status,Nationality
5bcaa59b32e46700016edf83,5b9e9fff6e3ebc0001c744db,AWAITING REVIEW,2018-10-20 03:48:50.713000,2018-10-20 04:19:21.586000,1830.873,25,15,0,100,,ZQSEZJGY,English,No,English,Canada,Female,Canada,Full-Time,Canada
5bcaa59e0981340001fc2791,594859c6bee3110001b1b092,AWAITING REVIEW,2018-10-20 03:48:49.665000,2018-10-20 04:15:35.077000,1605.412,27,45,0,100,,ZQSEZJGY,English,No,English,United States,Female,United States,Part-Time,United States
5bcaa5a008a62c0001f8353b,5af5f6e93aba4900015ece3b,AWAITING REVIEW,2018-10-20 03:48:54.190000,2018-10-20 04:24:26.946000,2132.756,29,152,1,100,,ZQSEZJGY,English,No,English,United States,Male,United States,Part-Time,United States
5bcaa5a208a62c0001f8353c,5bad758f8e44c6000123cdf7,AWAITING REVIEW,2018-10-20 03:48:53.120000,2018-10-20 04:07:25.006000,1111.886,40,33,0,100,,NOCODE,English,No,English,United States,Female,United States,Full-Time,United States
5bcaa5a3e642db0001d3cc33,5acb2041a3ba7a0001b4dc8d,AWAITING REVIEW,2018-10-20 03:49:00.962000,2018-10-20 04:21:50.542000,1969.58,33,84,0,100,,ZQSEZJGY,English,Yes,English,Australia,Male,Australia,Full-Time,Australia
5bcaa5b4e642db0001d3cc36,56fd111d581aa6000f54d061,AWAITING REVIEW,2018-10-20 03:49:17.445000,2018-10-20 04:19:47.578000,1830.133,49,1006,1,100,,ZQSEZJGY,English,No,English,United Kingdom,Male,United Kingdom,Full-Time,United Kingdom
5bcaa5b53d893f0001bf0e15,5b1ac7ea88624c00013d5a1b,AWAITING REVIEW,2018-10-20 03:49:50.253000,2018-10-20 04:14:13.639000,1463.386,23,93,0,100,,ZQSEZJGY,English,No,English,United Kingdom,Male,United Kingdom,Full-Time,United Kingdom
5bcaa5bb0981340001fc2798,5924f4910a3e3e0001f1018e,AWAITING REVIEW,2018-10-20 03:49:15.303000,2018-10-20 04:14:20.151000,1504.848,42,201,3,99,,ZQSEZJGY,English,No,English,United States,Male,United States,Full-Time,United States
5bcaa5bb3d893f0001bf0e16,599349fba2bbe00001883104,AWAITING REVIEW,2018-10-20 03:49:18.789000,2018-10-20 04:12:34.356000,1395.567,23,129,1,100,,ZQSEZJGY,English,Yes,English,United States,Female,United States,Other,Russian Federation
5bcaa5cce642db0001d3cc39,5a4afdd835c9d50001fdd1c0,AWAITING REVIEW,2018-10-20 03:50:16.311000,2018-10-20 04:14:28.677000,1452.366,28,269,3,99,,ZQSEZJGY,English,No,English,United States,Male,United States,Part-Time,United States
5bcaa5d977740000016a2f85,5b5b455d8fb47700015830b7,AWAITING REVIEW,2018-10-20 03:50:01.130000,2018-10-20 04:18:05.053000,1683.923,27,75,0,100,,ZQSEZJGY,English,No,English,United States,Female,United States,Full-Time,United States
5bcaa5e332e46700016edf8d,5ba2e02bcc5dd00001677adb,AWAITING REVIEW,2018-10-20 03:49:57.951000,2018-10-20 04:11:23.196000,1285.245,38,38,0,100,,ZQSEZJGY,English,No,English,United States,Male,United States,Part-Time,United States
5bcaa5e732e46700016edf8e,55b9a9b0fdf99b6906d2aba4,AWAITING REVIEW,2018-10-20 03:50:42.329000,2018-10-20 04:31:08.088000,2425.759,63,1113,1,100,,ZQSEZJGY,English,No,English,United States,Male,United States,,United States
5bcaa602e642db0001d3cc47,57e0f94c89fea700017297e7,AWAITING REVIEW,2018-10-20 03:50:32.949000,2018-10-20 04:19:29.309000,1736.36,32,166,0,100,,ZQSEZJGY,German,Yes,English,Germany,Male,Germany,Full-Time,Germany
5bcaa60908a62c0001f83551,5b6f0cfd5035e100019cc46e,AWAITING REVIEW,2018-10-20 03:51:03.103000,2018-10-20 04:24:56.292000,2033.189,31,35,0,100,,ZQSEZJGY,English,No,English,Australia,Female,Australia,"Not in paid work (e.g. homemaker, retired or disabled)",Australia
5bcaa6e432e46700016edfbc,57bdf383467f26000125dbb9,AWAITING REVIEW,2018-10-20 03:54:19.239000,2018-10-20 04:21:18.813000,1619.574,20,221,0,100,,ZQSEZJGY,English,Yes,English,United States,Female,United States,Other,United States
5bcaa8a40f10750001d76d8a,55bede0dfdf99b6b67092299,AWAITING REVIEW,2018-10-20 04:01:45.732000,2018-10-20 04:23:38.199000,1312.467,26,1069,9,99,,ZQSEZJGY,English,No,English,United States,Female,United States,Part-Time,United States
5bcab03a3d893f0001bf1057,5650a552d034af00056cee81,AWAITING REVIEW,2018-10-20 04:34:04.692000,2018-10-20 05:04:45.136000,1840.444,48,130,1,100,,ZQSEZJGY,English,No,English,United States,Female,United States,Full-Time,United States
5bcab66f3d893f0001bf11b9,59b94b6211212f0001cd118a,AWAITING REVIEW,2018-10-20 05:01:06.300000,2018-10-20 05:44:01.192000,2574.892,26,119,0,100,,ZQSEZJGY,English,No,English,Australia,Male,New Zealand,Unemployed (and job seeking),Australia
5bcab69a32e46700016ee321,5a80bf6e2a842c0001fc9064,AWAITING REVIEW,2018-10-20 05:01:17.709000,2018-10-20 05:27:30.444000,1572.735,34,175,2,100,,ZQSEZJGY,English,No,English,United States,Male,Korea,Full-Time,United States
5bc8e40608a62c0001f7d39f,5ba8f1a18e137f00016220d7,RETURNED,2018-10-18 19:50:45.543000,,173999.64051,24,13,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
